,,,,,,,,Playing Time,Playing Time,Playing Time,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,,
83,Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,27,1997,34,34,3060,34,34,1,122,88,72.1,22,7,5,15,44.1,5,5,0,0,0,,
84,Hervé Koffi,bf BFA,GK,Angers,fr Ligue 1,28,1996,30,30,2658,29.5,36,1.22,157,120,77.1,9,9,12,10,33.3,6,3,2,1,40,,
85,Philipp Köhn,ch SUI,GK,Monaco,fr Ligue 1,27,1998,19,17,1621,18,27,1.5,75,48,64,9,4,4,5,29.4,2,2,0,0,0,,
86,Vladyslav Krapyvtsov,ua UKR,GK,Girona,es La Liga,20,2005,2,1,136,1.5,6,3.97,10,4,40,0,0,1,0,0,1,1,0,0,0,,
87,Senne Lammens,be BEL,GK,Manchester Utd,eng Premier League,23,2002,32,32,2880,32,39,1.22,118,78,66.9,18,10,4,8,25,4,4,0,0,0,,
88,Nicola Leali,it ITA,GK,Genoa,it Serie A,32,1993,22,21,1847,20.5,28,1.36,86,58,67.4,4,8,9,4,19,2,2,0,0,0,,
89,Bernd Leno,de GER,GK,Fulham,eng Premier League,33,1992,38,38,3420,38,51,1.34,149,98,65.8,15,7,16,9,23.7,4,3,0,1,0,,
90,Donovan Léon,gf GUF,GK,Auxerre,fr Ligue 1,32,1992,29,29,2460,27.3,35,1.28,130,95,73.1,7,9,13,9,31,3,2,1,0,33.3,,
91,Luca Lezzerini,it ITA,GK,Fiorentina,it Serie A,30,1995,1,0,4,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,
92,Anthony Lopes,pt POR,GK,Nantes,fr Ligue 1,34,1990,31,31,2788,31,50,1.61,147,97,66,4,7,20,6,19.4,5,5,0,0,0,,
93,Pau López,es ESP,GK,Real Betis,es La Liga,30,1994,9,9,810,9,11,1.22,40,29,72.5,4,2,3,2,22.2,1,0,1,0,100,,
94,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,26,1999,6,6,540,6,7,1.17,23,16,69.6,3,2,1,1,16.7,0,0,0,0,,,
95,Mike Maignan,fr FRA,GK,Milan,it Serie A,30,1995,37,37,3295,36.6,35,0.96,141,106,75.2,19,10,8,14,37.8,8,5,2,1,28.6,,
96,Radosław Majecki,pl POL,GK,Brest,fr Ligue 1,25,1999,10,10,864,9.6,18,1.87,44,26,59.1,1,4,5,3,30,1,1,0,0,0,,
97,Pape Mamadou Sy,sn SEN,GK,Metz,fr Ligue 1,28,1997,8,8,706,7.8,20,2.55,49,29,59.2,0,3,5,2,25,1,1,0,0,0,,
98,Giorgi Mamardashvili,ge GEO,GK,Liverpool,eng Premier League,24,2000,10,10,867,9.6,18,1.87,51,33,64.7,3,1,6,2,20,2,1,1,0,50,,
99,Renato Marin,it ITA,GK,PSG,fr Ligue 1,19,2006,2,2,180,2,2,1,5,3,60,1,1,0,1,50,0,0,0,0,,,
100,Unai Marrero,es ESP,GK,Real Sociedad,es La Liga,23,2001,1,1,90,1,1,1,8,7,87.5,0,1,0,0,0,0,0,0,0,,,
101,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,32,1992,32,32,2835,31.5,39,1.24,134,95,70.9,16,6,10,8,25,1,0,1,0,100,,
102,Josep Martinez,es ESP,GK,Inter,it Serie A,27,1998,5,5,450,5,4,0.8,14,10,71.4,4,1,0,3,60,0,0,0,0,,,
