,,,,,,,,Playing Time,Playing Time,Playing Time,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,,
177,James Trafford,eng ENG,GK,Manchester City,eng Premier League,22,2002,4,4,360,4,6,1.5,20,14,70,1,0,3,1,25,1,1,0,0,0,,
178,Kevin Trapp,de GER,GK,Paris FC,fr Ligue 1,35,1990,22,22,1980,22,29,1.32,87,56,66.7,8,8,6,7,31.8,8,6,1,1,14.3,,
179,Stefano Turati,it ITA,GK,Sassuolo,it Serie A,23,2001,6,6,532,5.9,7,1.18,22,15,68.2,2,1,3,2,33.3,0,0,0,0,,,
180,Sven Ulreich,de GER,GK,Bayern Munich,de Bundesliga,36,1988,1,1,90,1,1,1,7,6,85.7,0,1,0,0,0,0,0,0,0,,,
181,Jonas Urbig,de GER,GK,Bayern Munich,de Bundesliga,21,2003,14,11,1111,12.3,15,1.22,47,32,68.1,9,1,1,6,54.5,2,1,0,1,0,,
182,Hákon Valdimarsson,is ISL,GK,Brentford,eng Premier League,23,2001,1,1,90,1,3,3,4,1,25,1,0,0,0,0,0,0,0,0,,,
183,Álvaro Vallés,es ESP,GK,Real Betis,es La Liga,28,1997,28,28,2520,28,36,1.29,123,87,70.7,10,13,5,8,28.6,6,4,1,1,20,,
184,Maarten Vandevoordt,be BEL,GK,RB Leipzig,de Bundesliga,23,2002,12,11,1052,11.7,15,1.28,45,30,66.7,8,1,2,2,18.2,1,0,1,0,100,,
185,Nikola Vasilj,ba BIH,GK,St Pauli,de Bundesliga,29,1995,34,34,3060,34,60,1.76,183,123,67.2,6,8,20,5,14.7,6,3,2,1,40,,
186,Bart Verbruggen,nl NED,GK,Brighton,eng Premier League,22,2002,38,38,3420,38,46,1.21,151,103,69.5,14,11,13,10,26.3,6,5,1,0,16.7,,
187,Guglielmo Vicario,it ITA,GK,Tottenham,eng Premier League,28,1996,31,31,2790,31,50,1.61,133,83,62.4,7,9,15,7,22.6,2,2,0,0,0,,
188,Odysseas Vlachodimos,gr GRE,GK,Sevilla,es La Liga,31,1994,33,33,2970,33,52,1.58,140,88,62.9,11,6,16,5,15.2,10,8,1,1,11.1,,
189,Max Weiß,de GER,GK,Burnley,eng Premier League,21,2004,3,3,270,3,4,1.33,14,10,71.4,0,2,1,0,0,1,1,0,0,0,,
190,Freddie Woodman,eng ENG,GK,Liverpool,eng Premier League,28,1997,3,2,213,2.4,4,1.69,13,9,69.2,1,0,1,0,0,0,0,0,0,,,
191,Gioele Zacchi,it ITA,GK,Sassuolo,it Serie A,22,2003,1,0,8,0.1,0,0,0,0,,0,0,0,0,,0,0,0,0,,,
192,Robin Zentner,de GER,GK,Mainz 05,de Bundesliga,30,1994,10,10,876,9.7,14,1.44,45,31,68.9,1,3,6,0,0,0,0,0,0,,,
193,Michael Zetterer,de GER,GK,Frankfurt,de Bundesliga,30,1995,22,21,1976,22,33,1.5,95,62,65.3,8,7,6,6,28.6,2,2,0,0,0,,
194,Melvin Zinga,fr FRA,GK,Angers,fr Ligue 1,23,2002,3,2,222,2.5,5,2.03,13,8,61.5,0,0,2,0,0,0,0,0,0,,,
