,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,,
356,Sven Botman,nl NED,DF,Newcastle,eng Premier League,25,2000,20.4,1,15,4,26.7,0.74,0.2,0.07,0.25,0,0,,
357,Ayyoub Bouaddi,ma MAR,MF,Lille,fr Ligue 1,17,2007,25.8,0,16,5,31.3,0.62,0.19,0,0,0,0,,
358,Badredine Bouanani,dz ALG,MF,Nice,fr Ligue 1,20,2004,1,0,1,0,0,0.97,0,0,,0,0,,
359,Badredine Bouanani,dz ALG,MF,Stuttgart,de Bundesliga,20,2004,5.1,0,16,4,25,3.11,0.78,0,0,0,0,,
360,Kaïl Boudache,fr FRA,MFFW,Nice,fr Ligue 1,19,2006,5.9,1,13,2,15.4,2.2,0.34,0.08,0.5,0,0,,
361,Hicham Boudaoui,dz ALG,MF,Nice,fr Ligue 1,25,1999,18.8,1,21,9,42.9,1.12,0.48,0.05,0.11,0,0,,
362,Sofiane Boufal,ma MAR,MFFW,Le Havre,fr Ligue 1,31,1993,11.3,1,19,4,21.1,1.68,0.35,0.05,0.25,0,1,,
363,Justin Bourgault,fr FRA,FW,Brest,fr Ligue 1,19,2005,0.2,0,1,0,0,5.63,0,0,,0,0,,
364,Jarrod Bowen,eng ENG,MFFW,West Ham,eng Premier League,28,1996,37.8,9,79,28,35.4,2.09,0.74,0.1,0.29,1,1,,
365,Kieron Bowie,sct SCO,FW,Hellas Verona,it Serie A,22,2002,13.3,4,33,11,33.3,2.48,0.82,0.12,0.36,0,0,,
366,Lucas Boyé,ar ARG,FW,Alavés,es La Liga,29,1996,21.8,11,63,21,33.3,2.9,0.97,0.13,0.38,3,3,,
367,Enzo Boyomo,cm CMR,DF,Osasuna,es La Liga,23,2001,28.2,1,11,4,36.4,0.39,0.14,0.09,0.25,0,0,,
368,Rosen Bozhinov,bg BUL,DF,Pisa,it Serie A,20,2005,6.8,0,3,1,33.3,0.44,0.15,0,0,0,0,,
369,Domagoj Bradarić,hr CRO,MF,Hellas Verona,it Serie A,25,1999,21.8,0,13,6,46.2,0.6,0.27,0,0,0,0,,
370,Conor Bradley,nir NIR,DF,Liverpool,eng Premier League,22,2003,10.3,0,6,0,0,0.58,0,0,,0,0,,
371,Bilal Brahimi,dz ALG,FWMF,Nice,fr Ligue 1,25,2000,0,0,0,0,,0,0,,,0,0,,
372,Julian Brandt,de GER,MFFW,Dortmund,de Bundesliga,29,1996,17.8,7,38,18,47.4,2.13,1.01,0.18,0.39,0,0,,
373,Jarrad Branthwaite,eng ENG,DF,Everton,eng Premier League,23,2002,7.6,1,6,2,33.3,0.79,0.26,0.17,0.5,0,0,,
374,Riccardo Braschi,it ITA,FW,Fiorentina,it Serie A,18,2006,1.2,0,3,0,0,2.57,0,0,,0,0,,
375,Lilian Brassier,fr FRA,DF,Rennes,fr Ligue 1,25,1999,25,0,11,2,18.2,0.44,0.08,0,0,0,0,,
376,Iker Bravo,es ESP,FW,Udinese,it Serie A,20,2005,2.3,1,4,1,25,1.75,0.44,0.25,1,0,0,,
377,Josip Brekalo,hr CRO,MFFW,Oviedo,es La Liga,27,1998,5.4,0,9,3,33.3,1.67,0.56,0,0,0,0,,
378,Gleison Bremer,br BRA,DF,Juventus,it Serie A,28,1997,24.1,4,23,9,39.1,0.95,0.37,0.17,0.44,0,0,,
379,Marco Brescianini,it ITA,MF,Fiorentina,it Serie A,25,2000,9.6,1,10,2,20,1.04,0.21,0.1,0.5,0,0,,
380,Marco Brescianini,it ITA,MF,Atalanta,it Serie A,25,2000,2,1,3,2,66.7,1.48,0.99,0.33,0.5,0,0,,
381,Abel Bretones,es ESP,MFDF,Osasuna,es La Liga,24,2000,18,1,11,3,27.3,0.61,0.17,0.09,0.33,0,0,,
382,Sascha Britschgi,ch SUI,MFDF,Parma,it Serie A,18,2006,23.3,0,13,3,23.1,0.56,0.13,0,0,0,0,,
383,Brian Brobbey,nl NED,FW,Sunderland,eng Premier League,23,2002,21.4,7,36,18,50,1.68,0.84,0.19,0.39,0,0,,
384,Marius Broholm,no NOR,MF,Lille,fr Ligue 1,20,2004,3.1,1,4,3,75,1.29,0.97,0,0,1,1,,
385,Armando Broja,al ALB,FW,Burnley,eng Premier League,23,2001,9.6,1,16,6,37.5,1.67,0.63,0.06,0.17,0,0,,
386,David Brooks,wls WAL,MF,Bournemouth,eng Premier League,28,1997,13.4,1,48,13,27.1,3.59,0.97,0.02,0.08,0,0,,
387,Nathaniel Brown,de GER,MFDF,Frankfurt,de Bundesliga,22,2003,29.5,4,18,9,50,0.61,0.3,0.22,0.44,0,0,,
388,Brugui,es ESP,MFFW,Levante,es La Liga,28,1996,11.2,1,28,9,32.1,2.51,0.81,0.04,0.11,0,0,,
389,Paris Brunner,de GER,FW,Monaco,fr Ligue 1,19,2006,1.5,0,4,1,25,2.73,0.68,0,0,0,0,,
390,Jacob Bruun Larsen,dk DEN,MFFW,Burnley,eng Premier League,26,1998,11.4,0,17,4,23.5,1.49,0.35,0,0,0,0,,
391,Tajon Buchanan,ca CAN,MF,Villarreal,es La Liga,26,1999,20.2,7,27,11,40.7,1.34,0.54,0.26,0.64,0,0,,
392,Ante Budimir,hr CRO,FW,Osasuna,es La Liga,34,1991,32.6,17,103,41,39.8,3.16,1.26,0.11,0.27,6,8,,
393,Emi Buendía,ar ARG,MF,Aston Villa,eng Premier League,28,1996,19.5,6,49,13,26.5,2.51,0.67,0.12,0.46,0,0,,
394,Hugo Bueno,es ESP,MFDF,Wolves,eng Premier League,22,2002,26.3,1,16,6,37.5,0.61,0.23,0.06,0.17,0,0,,
395,Manu Bueno,es ESP,MF,Sevilla,es La Liga,21,2004,3,0,2,0,0,0.66,0,0,,0,0,,
396,Santiago Bueno,uy URU,DF,Wolves,eng Premier League,26,1998,28.4,3,10,7,70,0.35,0.25,0.3,0.43,0,0,,
397,Louis Buffon,cz CZE,FW,Pisa,it Serie A,17,2007,0.4,0,0,0,,0,0,,,0,0,,
398,Adam Buksa,pl POL,FW,Udinese,it Serie A,29,1996,10.2,3,12,6,50,1.17,0.59,0.25,0.5,0,0,,
399,Andrija Bulatović,me MNE,MF,Lens,fr Ligue 1,18,2006,8.5,0,11,5,45.5,1.3,0.59,0,0,0,0,,
400,Marius Bülter,de GER,FWMF,Köln,de Bundesliga,32,1993,17.7,5,42,17,40.5,2.37,0.96,0.12,0.29,0,0,,
401,Facundo Buonanotte,ar ARG,MF,Leeds United,eng Premier League,20,2004,0.4,0,2,0,0,4.62,0,0,,0,0,,
402,Facundo Buonanotte,ar ARG,MF,Chelsea,eng Premier League,20,2004,0.5,0,0,0,,0,0,,,0,0,,
403,Alessandro Buongiorno,it ITA,DF,Napoli,it Serie A,26,1999,28,0,8,3,37.5,0.29,0.11,0,0,0,0,,
