,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,,
550,Amadou Cissé,gn GUI,DF,Strasbourg,fr Ligue 1,19,2006,1,0,0,0,,0,0,,,0,0,,
551,Djaoui Cissé,fr FRA,MF,Rennes,fr Ligue 1,21,2004,10.9,0,24,6,25,2.2,0.55,0,0,0,0,,
552,Mamoudou Cissokho,fr FRA,FW,Auxerre,fr Ligue 1,17,2007,0,0,0,0,,0,0,,,0,0,,
553,Alexis Claude-Maurice,fr FRA,MFFW,Augsburg,de Bundesliga,27,1998,23.3,5,71,26,36.6,3.05,1.12,0.06,0.15,1,2,,
554,Jonathan Clauss,fr FRA,MFDF,Nice,fr Ligue 1,32,1992,28.1,1,23,6,26.1,0.82,0.21,0.04,0.17,0,0,,
555,Nathaniel Clyne,eng ENG,MFDF,Crystal Palace,eng Premier League,34,1991,6.6,0,3,0,0,0.45,0,0,,0,0,,
556,Matteo Cocchi,it ITA,DF,Inter,it Serie A,18,2007,0.2,0,0,0,,0,0,,,0,0,,
557,Saúl Coco,gq EQG,DF,Torino,it Serie A,26,1999,34.3,1,15,4,26.7,0.44,0.12,0.07,0.25,0,0,,
558,Séamus Coleman,ie IRL,DF,Everton,eng Premier League,36,1988,0.2,0,0,0,,0,0,,,0,0,,
559,Maxime Colin,fr FRA,DF,Metz,fr Ligue 1,33,1991,18.8,0,7,2,28.6,0.37,0.11,0,0,0,0,,
560,Nathan Collins,ie IRL,DF,Brentford,eng Premier League,24,2001,33.1,1,20,6,30,0.61,0.18,0.05,0.17,0,0,,
561,Nnamdi Collins,de GER,DF,Frankfurt,de Bundesliga,21,2004,16.7,1,4,1,25,0.24,0.06,0.25,1,0,0,,
562,Michele Collocolo,it ITA,MF,Cremonese,it Serie A,25,1999,4,0,2,1,50,0.5,0.25,0,0,0,0,,
563,Santiago Colombatto,ar ARG,MF,Oviedo,es La Liga,28,1997,22.9,0,15,2,13.3,0.65,0.09,0,0,0,0,,
564,Lorenzo Colombo,it ITA,FW,Genoa,it Serie A,23,2002,25.8,7,66,27,40.9,2.55,1.04,0.09,0.22,1,2,,
565,Levi Colwill,eng ENG,DF,Chelsea,eng Premier League,22,2003,2.5,0,0,0,,0,0,,,0,0,,
566,Eray Cömert,ch SUI,DF,Valencia,es La Liga,27,1998,14.9,2,11,3,27.3,0.74,0.2,0.18,0.67,0,0,,
567,Santi Comesaña,es ESP,MF,Villarreal,es La Liga,28,1996,26.7,3,27,7,25.9,1.01,0.26,0.11,0.43,0,0,,
568,Pietro Comuzzo,it ITA,DF,Fiorentina,it Serie A,20,2005,18.8,1,10,2,20,0.53,0.11,0.1,0.5,0,0,,
569,Francisco Conceição,pt POR,MFFW,Juventus,it Serie A,22,2002,23.1,3,73,23,31.5,3.16,1,0.04,0.13,0,0,,
570,Christian Conteh,de GER,MFFW,Heidenheim,de Bundesliga,25,1999,4.5,0,3,0,0,0.67,0,0,,0,0,,
571,Sirlord Conteh,de GER,MFFW,Heidenheim,de Bundesliga,29,1996,6.9,2,10,3,30,1.44,0.43,0.2,0.67,0,0,,
572,Nikita Contini,it ITA,GK,Napoli,it Serie A,29,1996,0.1,0,0,0,,0,0,,,0,0,,
573,Lewis Cook,eng ENG,MFDF,Bournemouth,eng Premier League,28,1997,9.7,0,3,0,0,0.31,0,0,,0,0,,
574,Copete,es ESP,DF,Valencia,es La Liga,25,1999,19.5,0,13,0,0,0.67,0,0,,0,0,,
575,Diego Coppola,it ITA,DF,Paris FC,fr Ligue 1,21,2003,13,0,5,3,60,0.38,0.23,0,0,0,0,,
576,Diego Coppola,it ITA,DF,Brighton,eng Premier League,21,2003,2.2,0,0,0,,0,0,,,0,0,,
577,Francesco Coppola,it ITA,DF,Pisa,it Serie A,20,2005,5.1,0,2,0,0,0.39,0,0,,0,0,,
578,Francis Coquelin,fr FRA,MF,Nantes,fr Ligue 1,34,1991,7.3,0,6,1,16.7,0.82,0.14,0,0,0,0,,
579,Derek Cornelius,ca CAN,DFFW,Marseille,fr Ligue 1,27,1997,0.6,0,0,0,,0,0,,,0,0,,
580,Maxwel Cornet,ci CIV,MF,Genoa,it Serie A,28,1996,1.3,0,4,2,50,3.05,1.53,0,0,0,1,,
581,Iván Corralejo,es ESP,MF,Real Betis,es La Liga,18,2007,0.2,0,0,0,,0,0,,,0,0,,
582,Félix Correia,pt POR,MF,Lille,fr Ligue 1,24,2001,22.8,4,37,8,21.6,1.62,0.35,0.11,0.5,0,0,,
583,Thierry Correia,pt POR,DFMF,Valencia,es La Liga,26,1999,15.5,0,5,1,20,0.32,0.06,0,0,0,0,,
584,Alvaro Cortes,es ESP,DF,Barcelona,es La Liga,20,2005,1,0,0,0,,0,0,,,0,0,,
585,Paco Cortés,es ESP,MFFW,Levante,es La Liga,17,2007,5.2,0,12,4,33.3,2.29,0.76,0,0,0,0,,
586,Edoardo Corvi,it ITA,GK,Parma,it Serie A,24,2001,17,0,0,0,,0,0,,,0,0,,
587,Coba da Costa,es ESP,MF,Getafe,es La Liga,23,2002,3.9,0,5,1,20,1.29,0.26,0,0,0,0,,
588,Danny da Costa,de GER,DFMF,Mainz 05,de Bundesliga,32,1993,29.9,2,14,5,35.7,0.47,0.17,0.14,0.4,0,0,,
589,Logan Costa,cv CPV,DF,Villarreal,es La Liga,24,2001,0.3,0,0,0,,0,0,,,0,0,,
590,Samu Costa,pt POR,MF,Mallorca,es La Liga,24,2000,30,7,39,16,41,1.3,0.53,0.18,0.44,0,0,,
591,David Costas,es ESP,DF,Oviedo,es La Liga,30,1995,23,1,5,1,20,0.22,0.04,0.2,1,0,0,,
592,Grégoire Coudert,fr FRA,GK,Brest,fr Ligue 1,26,1999,24.4,0,0,0,,0,0,,,0,0,,
593,Vladimír Coufal,cz CZE,DFMF,Hoffenheim,de Bundesliga,32,1992,33.5,1,26,6,23.1,0.78,0.18,0.04,0.17,0,0,,
594,Abdoul Coulibaly,de GER,DF,Werder Bremen,de Bundesliga,18,2007,23.6,1,6,1,16.7,0.25,0.04,0.17,1,0,0,,
595,Djibril Coulibaly,fr FRA,MF,Nice,fr Ligue 1,16,2008,0.1,0,0,0,,0,0,,,0,0,,
596,Lassana Coulibaly,ml MLI,MF,Lecce,it Serie A,29,1996,29.9,3,28,8,28.6,0.94,0.27,0.11,0.38,0,0,,
597,Lasso Coulibaly,ci CIV,MF,Auxerre,fr Ligue 1,22,2002,3.6,0,3,0,0,0.84,0,0,,0,0,,
598,Mamadou Coulibaly,fr FRA,MF,Monaco,fr Ligue 1,21,2004,15.3,3,13,5,38.5,0.85,0.33,0.23,0.6,0,0,,
599,Soumaïla Coulibaly,fr FRA,DF,Brest,fr Ligue 1,21,2003,14.9,0,6,2,33.3,0.4,0.13,0,0,0,0,,
600,Woyo Coulibaly,ml MLI,DF,Sassuolo,it Serie A,26,1999,11.7,0,6,1,16.7,0.51,0.09,0,0,0,0,,
601,Marius Courcoul,fr FRA,MF,Angers,fr Ligue 1,18,2007,4.2,0,2,1,50,0.48,0.24,0,0,0,0,,
602,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,33,1992,32,0,0,0,,0,0,,,0,0,,
603,Yan Couto,br BRA,MF,Dortmund,de Bundesliga,23,2002,11.1,2,9,4,44.4,0.81,0.36,0.22,0.5,0,0,,
604,Patrice Čović,hr CRO,MF,Werder Bremen,de Bundesliga,18,2007,3.9,1,5,2,40,1.28,0.51,0.2,0.5,0,0,,
605,Nicolas Cozza,fr FRA,DF,Nantes,fr Ligue 1,26,1999,25.6,0,11,3,27.3,0.43,0.12,0,0,0,0,,
606,Ben Cremaschi,us USA,MF,Parma,it Serie A,20,2005,1.5,0,1,0,0,0.68,0,0,,0,0,,
607,Charlie Cresswell,eng ENG,DF,Toulouse,fr Ligue 1,22,2002,28.1,3,38,12,31.6,1.35,0.43,0.08,0.25,0,0,,
608,Bryan Cristante,it ITA,MF,Roma,it Serie A,30,1995,34.4,2,44,8,18.2,1.28,0.23,0.05,0.25,0,0,,
609,Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,33,1992,7.2,0,1,0,0,0.14,0,0,,0,0,,
610,Juan Cuadrado,co COL,MF,Pisa,it Serie A,37,1988,5.6,1,10,2,20,1.78,0.36,0,0,1,1,,
611,Pau Cubarsí,es ESP,DF,Barcelona,es La Liga,18,2007,30,1,10,2,20,0.33,0.07,0.1,0.5,0,0,,
612,Miguel Cubo,es ESP,FW,Atlético Madrid,es La Liga,17,2008,0.6,1,3,2,66.7,5.4,3.6,0.33,0.5,0,0,,
613,Cucho,co COL,FW,Real Betis,es La Liga,26,1999,28.7,11,89,27,30.3,3.1,0.94,0.11,0.37,1,1,,
614,Marc Cucurella,es ESP,DF,Chelsea,eng Premier League,27,1998,30.1,1,20,6,30,0.66,0.2,0.05,0.17,0,0,,
615,Jorge Cuenca,es ESP,DF,Fulham,eng Premier League,25,1999,10.4,0,1,0,0,0.1,0,0,,0,0,,
616,Montrell Culbreath,de GER,MFDF,Leverkusen,de Bundesliga,17,2007,8.2,1,8,2,25,0.98,0.24,0.13,0.5,0,0,,
617,Josh Cullen,ie IRL,MF,Burnley,eng Premier League,29,1996,16.8,2,11,6,54.5,0.65,0.36,0.18,0.33,0,0,,
618,Pablo Cuñat,es ESP,GK,Levante,es La Liga,23,2002,2,0,0,0,,0,0,,,0,0,,
619,Jair Cunha,br BRA,DF,Nottingham,eng Premier League,20,2005,5.7,0,3,1,33.3,0.52,0.17,0,0,0,0,,
620,Matheus Cunha,br BRA,MFFW,Manchester Utd,eng Premier League,26,1999,27.7,10,90,35,38.9,3.25,1.26,0.11,0.29,0,0,,
621,Patrick Cutrone,it ITA,FW,Parma,it Serie A,27,1998,9.9,1,25,7,28,2.53,0.71,0.04,0.14,0,0,,
622,Lucas Da Cunha,fr FRA,MF,Como,it Serie A,24,2001,30.4,6,42,16,38.1,1.38,0.53,0.05,0.13,4,4,,
623,Adam Daghim,dk DEN,MFFW,Wolfsburg,de Bundesliga,19,2005,15.2,2,27,9,33.3,1.78,0.59,0.07,0.22,0,0,,
624,Finn Dahmen,de GER,GK,Augsburg,de Bundesliga,27,1998,34,0,1,0,0,0.03,0,0,,0,0,,
625,Mahmoud Dahoud,de GER,MFFW,Frankfurt,de Bundesliga,29,1996,8,2,17,2,11.8,2.14,0.25,0.12,1,0,0,,
626,David Daiber,pt POR,FW,Bayern Munich,de Bundesliga,18,2007,0.3,0,1,0,0,3.1,0,0,,0,0,,
627,Ameen Al-Dakhil,be BEL,DF,Stuttgart,de Bundesliga,23,2002,4.2,0,1,0,0,0.24,0,0,,0,0,,
628,Thijs Dallinga,nl NED,FW,Bologna,it Serie A,24,2000,9,2,24,5,20.8,2.66,0.55,0.08,0.4,0,0,,
629,Diogo Dalot,pt POR,DFMF,Manchester Utd,eng Premier League,26,1999,29,1,24,6,25,0.83,0.21,0.04,0.17,0,0,,
630,Muhammed Damar,de GER,MFFW,Hoffenheim,de Bundesliga,21,2004,3.1,0,12,8,66.7,3.9,2.6,0,0,0,0,,
631,Damián,es ESP,MF,Getafe,es La Liga,22,2003,1.7,0,0,0,,0,0,,,0,0,,
632,Mikkel Damsgaard,dk DEN,MF,Brentford,eng Premier League,25,2000,22.8,4,29,11,37.9,1.27,0.48,0.14,0.36,0,0,,
633,Arnaut Danjuma,nl NED,MFFW,Valencia,es La Liga,28,1997,18.1,3,36,14,38.9,1.99,0.77,0.08,0.21,0,1,,
634,Kévin Danois,fr FRA,MF,Auxerre,fr Ligue 1,21,2004,31.4,3,25,8,32,0.8,0.25,0.12,0.38,0,0,,
635,Kevin Danso,at AUT,DF,Tottenham,eng Premier League,26,1998,16.6,0,11,2,18.2,0.66,0.12,0,0,0,0,,
636,Dante,br BRA,DF,Nice,fr Ligue 1,41,1983,9.4,0,7,1,14.3,0.74,0.11,0,0,0,0,,
637,Bence Dárdai,hu HUN,MF,Wolfsburg,de Bundesliga,19,2006,0.4,0,0,0,,0,0,,,0,0,,
638,Aiman Dardari,lu LUX,MF,Augsburg,de Bundesliga,20,2005,0.4,0,1,0,0,2.65,0,0,,0,0,,
639,Sergi Darder,es ESP,MF,Mallorca,es La Liga,31,1993,29.8,1,36,13,36.1,1.21,0.44,0.03,0.08,0,0,,
640,Karl Darlow,wls WAL,GK,Leeds United,eng Premier League,34,1990,22,0,0,0,,0,0,,,0,0,,
641,Matteo Darmian,it ITA,MFDF,Inter,it Serie A,35,1989,2.8,0,0,0,,0,0,,,0,0,,
642,Josh Dasilva,eng ENG,MF,Brentford,eng Premier League,26,1998,0,0,1,0,0,30,0,0,,0,0,,
643,David Datro Fofana,ci CIV,FW,Strasbourg,fr Ligue 1,22,2002,1.9,0,3,1,33.3,1.58,0.53,0,0,0,0,,
644,Juan David Cabal,co COL,MF,Juventus,it Serie A,24,2001,3.3,2,5,2,40,1.52,0.61,0.4,1,0,0,,
645,Jonathan David,ca CAN,FW,Juventus,it Serie A,25,2000,19.8,6,41,16,39,2.07,0.81,0.15,0.38,0,1,,
646,Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,24,2000,5.8,1,4,1,25,0.69,0.17,0.25,1,0,0,,
647,Ben Davies,wls WAL,DF,Tottenham,eng Premier League,32,1993,1.5,1,2,2,100,1.31,1.31,0.5,0.5,0,0,,
648,Davinchi,es ESP,DF,Getafe,es La Liga,17,2007,7.8,0,4,2,50,0.51,0.26,0,0,0,0,,
649,Keinan Davis,eng ENG,FW,Udinese,it Serie A,27,1998,22.9,10,50,25,50,2.18,1.09,0.12,0.24,4,4,,
650,Kevin De Bruyne,be BEL,MF,Napoli,it Serie A,34,1991,12.9,5,27,11,40.7,2.09,0.85,0.07,0.18,3,3,,
651,Mathys De Carvalho,fr FRA,MF,Lyon,fr Ligue 1,20,2005,3.3,0,7,2,28.6,2.14,0.61,0,0,0,0,,
652,Maxim De Cuyper,be BEL,DFMF,Brighton,eng Premier League,24,2000,15.7,2,13,6,46.2,0.83,0.38,0.15,0.33,0,0,,
653,Charles De Ketelaere,be BEL,MFFW,Atalanta,it Serie A,24,2001,24.2,3,46,16,34.8,1.9,0.66,0.07,0.19,0,0,,
654,Jeffrey De Lange,nl NED,GK,Marseille,fr Ligue 1,27,1998,5,0,0,0,,0,0,,,0,0,,
655,Manuel De Luca,it ITA,FW,Cremonese,it Serie A,27,1998,0.2,1,2,2,100,11.25,11.25,0,0,1,1,,
656,Théo De Percin,mq MTQ,GK,Auxerre,fr Ligue 1,24,2001,6.6,0,0,0,,0,0,,,0,0,,
657,Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,37,1988,5.5,0,0,0,,0,0,,,0,0,,
658,Thibault De Smet,be BEL,DF,Paris FC,fr Ligue 1,27,1998,12.7,0,4,0,0,0.31,0,0,,0,0,,
659,Koni De Winter,be BEL,DF,Milan,it Serie A,23,2002,20,1,7,1,14.3,0.35,0.05,0.14,1,0,0,,
660,Alessandro Deiola,it ITA,MFDF,Cagliari,it Serie A,29,1995,15.9,0,22,7,31.8,1.38,0.44,0,0,0,0,,
661,Romain Del Castillo,fr FRA,MFFW,Brest,fr Ligue 1,29,1996,29.2,9,33,13,39.4,1.13,0.45,0.09,0.23,6,8,,
662,Thomas Delaine,fr FRA,MFDF,Le Havre,fr Ligue 1,33,1992,2.2,0,3,0,0,1.34,0,0,,0,0,,
663,Liam Delap,eng ENG,FW,Chelsea,eng Premier League,22,2003,12.3,1,36,11,30.6,2.93,0.89,0.03,0.09,0,0,,
664,Fisayo Dele-Bashiru,ng NGA,MF,Lazio,it Serie A,24,2001,13.2,1,9,2,22.2,0.68,0.15,0.11,0.5,0,0,,
665,Enrico Delprato,it ITA,DFMF,Parma,it Serie A,25,1999,32.8,2,18,9,50,0.55,0.27,0.11,0.22,0,0,,
666,Olivier Deman,be BEL,DFMF,Werder Bremen,de Bundesliga,25,2000,13.9,1,10,3,30,0.72,0.22,0.1,0.33,0,0,,
667,Pape Demba Diop,sn SEN,MF,Toulouse,fr Ligue 1,21,2003,13.1,1,29,11,37.9,2.21,0.84,0.03,0.09,0,0,,
668,Ali Dembélé,fr FRA,DF,Torino,it Serie A,21,2004,0.2,0,1,0,0,4.29,0,0,,0,0,,
669,Ousmane Dembélé,fr FRA,FW,PSG,fr Ligue 1,28,1997,11.8,10,45,18,40,3.81,1.52,0.18,0.44,2,3,,
670,Jessy Deminguet,fr FRA,MF,Metz,fr Ligue 1,27,1998,22.2,2,17,7,41.2,0.77,0.32,0.12,0.29,0,0,,
671,Ermedin Demirović,ba BIH,FW,Stuttgart,de Bundesliga,27,1998,16.6,12,41,22,53.7,2.46,1.32,0.27,0.5,1,1,,
672,Rav van den Berg,nl NED,DF,Köln,de Bundesliga,21,2004,12.6,0,1,0,0,0.08,0,0,,0,0,,
673,Sepp van den Berg,nl NED,DF,Brentford,eng Premier League,23,2001,30.7,0,23,7,30.4,0.75,0.23,0,0,0,0,,
674,Branco van den Boomen,nl NED,MF,Angers,fr Ligue 1,30,1995,13.8,0,13,5,38.5,0.95,0.36,0,0,0,1,,
675,Leander Dendoncker,be BEL,MF,Oviedo,es La Liga,30,1995,14.8,1,9,4,44.4,0.61,0.27,0.11,0.25,0,0,,
676,Daniel Denoon,ch SUI,DF,Pisa,it Serie A,21,2004,1.4,0,0,0,,0,0,,,0,0,,
677,Nelson Deossa,co COL,MF,Real Betis,es La Liga,25,2000,8.3,0,18,0,0,2.18,0,0,,0,0,,
678,Jesse Derry,eng ENG,MF,Chelsea,eng Premier League,18,2007,0.5,0,2,1,50,4.09,2.05,0,0,0,0,,
679,Rémy Descamps,fr FRA,GK,Lyon,fr Ligue 1,29,1996,5,0,0,0,,0,0,,,0,0,,
680,Bahmed Deuff,mr MTN,MF,Nantes,fr Ligue 1,19,2006,2.8,0,7,3,42.9,2.52,1.08,0,0,0,0,,
681,Justin Devenny,nir NIR,MFFW,Crystal Palace,eng Premier League,21,2003,8.8,1,13,4,30.8,1.47,0.45,0,0,1,1,,
682,Tidiane Devernois,fr FRA,MF,Auxerre,fr Ligue 1,17,2007,0.1,0,0,0,,0,0,,,0,0,,
683,Kiernan Dewsbury-Hall,eng ENG,MF,Everton,eng Premier League,26,1998,29.2,8,39,15,38.5,1.34,0.51,0.21,0.53,0,0,,
684,Raffaele Di Gennaro,it ITA,GK,Inter,it Serie A,31,1993,0.1,0,0,0,,0,0,,,0,0,,
685,Michele Di Gregorio,it ITA,GK,Juventus,it Serie A,28,1997,29.5,0,0,0,,0,0,,,0,0,,
686,Giovanni Di Lorenzo,it ITA,DFMF,Napoli,it Serie A,31,1993,25.3,2,25,9,36,0.99,0.36,0.08,0.22,0,0,,
687,Alessandro Di Pardo,it ITA,DFMF,Cagliari,it Serie A,26,1999,0.6,0,1,0,0,1.67,0,0,,0,0,,
688,Boulaye Dia,sn SEN,FWMF,Lazio,it Serie A,28,1996,13.9,1,12,7,58.3,0.86,0.5,0.08,0.14,0,0,,
689,Ibrahim Diabaté,ci CIV,FW,Alavés,es La Liga,25,1999,6.4,2,15,5,33.3,2.34,0.78,0.13,0.4,0,0,,
690,Bambo Diaby,sn SEN,DF,Elche,es La Liga,27,1997,1.1,0,0,0,,0,0,,,0,0,,
691,Mouctar Diakhaby,gn GUI,DF,Valencia,es La Liga,28,1996,6,1,4,3,75,0.66,0.5,0.25,0.33,0,0,,
692,Bafodé Diakité,fr FRA,DF,Bournemouth,eng Premier League,24,2001,14.2,0,1,0,0,0.07,0,0,,0,0,,
693,Amad Diallo,ci CIV,MF,Manchester Utd,eng Premier League,23,2002,26,2,53,23,43.4,2.04,0.88,0.04,0.09,0,0,,
694,Habib Diallo,sn SEN,FW,Metz,fr Ligue 1,30,1995,21.2,4,38,12,31.6,1.79,0.57,0.11,0.33,0,1,,
695,Zoumana Diallo,fr FRA,FW,Nice,fr Ligue 1,20,2005,0.1,0,0,0,,0,0,,,0,0,,
696,Grady Diangana,cd COD,MFFW,Elche,es La Liga,27,1998,10.3,1,16,2,12.5,1.56,0.19,0.06,0.5,0,0,,
697,Assane Diao,sn SEN,MF,Como,it Serie A,19,2005,11.9,2,31,10,32.3,2.6,0.84,0.06,0.2,0,0,,
698,Soriba Diaoune,fr FRA,MF,Lille,fr Ligue 1,17,2007,2.1,1,10,4,40,4.86,1.95,0.1,0.25,0,0,,
699,Habib Diarra,sn SEN,MF,Sunderland,eng Premier League,21,2004,15.6,2,26,8,30.8,1.67,0.51,0.04,0.13,1,1,,
700,Moussa Diarra,ml MLI,DF,Alavés,es La Liga,24,2000,2.4,0,0,0,,0,0,,,0,0,,
701,Rúben Dias,pt POR,DF,Manchester City,eng Premier League,28,1997,23.8,2,10,4,40,0.42,0.17,0.2,0.5,0,0,,
702,Alassane Diatta,sn SEN,MF,Villarreal,es La Liga,20,2005,0.3,0,0,0,,0,0,,,0,0,,
703,Bane Diatta,fr FRA,MF,Angers,fr Ligue 1,17,2008,0.1,0,0,0,,0,0,,,0,0,,
704,Krépin Diatta,sn SEN,MFDF,Monaco,fr Ligue 1,26,1999,11.3,0,7,1,14.3,0.62,0.09,0,0,0,0,,
705,Mory Diaw,sn SEN,GK,Le Havre,fr Ligue 1,32,1993,29.5,0,0,0,,0,0,,,0,0,,
706,Brahim Díaz,ma MAR,FWMF,Real Madrid,es La Liga,25,1999,14,1,15,7,46.7,1.07,0.5,0.07,0.14,0,0,,
707,Daniel Díaz,es ESP,FW,Real Sociedad,es La Liga,19,2006,0.2,0,0,0,,0,0,,,0,0,,
708,Julio Diaz,es ESP,DF,Atlético Madrid,es La Liga,20,2005,3.4,0,1,0,0,0.29,0,0,,0,0,,
709,Junior Diaz,ci CIV,DF,Brest,fr Ligue 1,22,2003,17.4,0,7,1,14.3,0.4,0.06,0,0,0,0,,
710,Luis Díaz,co COL,MF,Bayern Munich,de Bundesliga,28,1997,27.2,15,88,37,42,3.24,1.36,0.17,0.41,0,0,,
711,Pedro Díaz,es ESP,MF,Rayo Vallecano,es La Liga,27,1998,20.8,0,44,6,13.6,2.12,0.29,0,0,0,0,,
712,Tyler Dibling,eng ENG,MF,Everton,eng Premier League,19,2006,4,0,4,0,0,1.01,0,0,,0,0,,
713,Nouha Dicko,ml MLI,FWMF,Paris FC,fr Ligue 1,33,1992,0.8,1,4,2,50,5,2.5,0.25,0.5,0,0,,
714,Yaya Diémé,sn SEN,FW,Strasbourg,fr Ligue 1,17,2007,1.7,0,2,1,50,1.17,0.58,0,0,0,0,,
715,Bamba Dieng,sn SEN,FW,Lorient,fr Ligue 1,25,2000,13.5,10,45,24,53.3,3.34,1.78,0.2,0.38,1,2,,
716,Eric Dier,eng ENG,DF,Monaco,fr Ligue 1,31,1994,7.6,1,3,2,66.7,0.39,0.26,0.33,0.5,0,0,,
717,Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,32,1993,20.6,0,14,5,35.7,0.68,0.24,0,0,0,0,,
718,Kevin Diks,id IDN,DF,Gladbach,de Bundesliga,28,1996,27.4,5,23,13,56.5,0.84,0.47,0.04,0.08,4,4,,
719,Federico Dimarco,it ITA,MF,Inter,it Serie A,27,1997,30,7,65,22,33.8,2.17,0.73,0.11,0.32,0,0,,
720,Stole Dimitrievski,mk MKD,GK,Valencia,es La Liga,31,1993,20,0,0,0,,0,0,,,0,0,,
721,Junior Dina Ebimbe,cm CMR,MF,Brest,fr Ligue 1,24,2000,12.9,5,27,9,33.3,2.09,0.7,0.19,0.56,0,0,,
722,Eren Dinkçi,de GER,MFFW,Heidenheim,de Bundesliga,23,2001,12.6,3,25,9,36,1.99,0.72,0.12,0.33,0,0,,
723,Eren Dinkçi,de GER,MF,Freiburg,de Bundesliga,23,2001,2.8,0,4,0,0,1.45,0,0,,0,0,,
724,Sinaly Diomande,ci CIV,DF,Auxerre,fr Ligue 1,24,2001,23.7,2,9,4,44.4,0.38,0.17,0.22,0.5,0,0,,
725,Yan Diomandé,ci CIV,FWMF,RB Leipzig,de Bundesliga,18,2006,27.5,12,53,26,49.1,1.93,0.95,0.23,0.46,0,0,,
726,Issa Diop,ma MAR,DF,Fulham,eng Premier League,28,1997,9.1,1,2,1,50,0.22,0.11,0.5,1,0,0,,
727,Sérigné Diop,sn SEN,FW,Brest,fr Ligue 1,20,2005,0.1,0,1,0,0,7.5,0,0,,0,0,,
728,Sofiane Diop,ma MAR,MFFW,Nice,fr Ligue 1,25,2000,23.7,8,54,17,31.5,2.28,0.72,0.11,0.35,2,2,,
729,Andy Diouf,fr FRA,MF,Inter,it Serie A,22,2003,5.5,1,10,3,30,1.83,0.55,0.1,0.33,0,0,,
730,Andy Diouf,fr FRA,MF,Lens,fr Ligue 1,22,2003,1,0,3,1,33.3,3,1,0,0,0,0,,
731,El Hadji Malick Diouf,sn SEN,DFMF,West Ham,eng Premier League,20,2004,30.1,0,18,4,22.2,0.6,0.13,0,0,0,0,,
732,Yehvann Diouf,sn SEN,GK,Nice,fr Ligue 1,25,1999,26,0,0,0,,0,0,,,0,0,,
733,Assane Dioussé,sn SEN,MF,Auxerre,fr Ligue 1,27,1997,2.4,0,4,1,25,1.64,0.41,0,0,0,0,,
734,Axel Disasi,fr FRA,DF,West Ham,eng Premier League,27,1998,13.9,0,5,3,60,0.36,0.22,0,0,0,0,,
735,Matías Dituro,ar ARG,GK,Elche,es La Liga,38,1987,22,0,0,0,,0,0,,,0,0,,
736,Djené,tg TOG,DFMF,Getafe,es La Liga,33,1991,28.6,0,4,0,0,0.14,0,0,,0,0,,
737,Harouna Djibrin,cm CMR,MF,Angers,fr Ligue 1,18,2006,3.7,2,7,3,42.9,1.87,0.8,0.29,0.67,0,0,,
738,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,32,1993,28.1,0,16,2,12.5,0.57,0.07,0,0,0,0,,
739,Marko Dmitrović,rs SRB,GK,Espanyol,es La Liga,33,1992,37,0,0,0,,0,0,,,0,0,,
740,Henrick Do Marcolino,fr FRA,FW,Rennes,fr Ligue 1,19,2006,0,0,0,0,,0,0,,,0,0,,
741,Ritsu Doan,jp JPN,MF,Frankfurt,de Bundesliga,27,1998,26.3,5,41,15,36.6,1.56,0.57,0.12,0.33,0,0,,
742,Dodô,br BRA,DFMF,Fiorentina,it Serie A,26,1998,34.8,1,25,4,16,0.72,0.11,0.04,0.25,0,0,,
743,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,27,1998,34,5,45,11,24.4,1.32,0.32,0.11,0.45,0,0,,
744,Matt Doherty,ie IRL,DFMF,Wolves,eng Premier League,33,1992,8.7,0,3,0,0,0.34,0,0,,0,0,,
745,Josh Doig,sct SCO,DF,Sassuolo,it Serie A,23,2002,21.3,0,11,4,36.4,0.52,0.19,0,0,0,0,,
746,Jeremy Doku,be BEL,MFFW,Manchester City,eng Premier League,23,2002,19.8,5,39,15,38.5,1.97,0.76,0.13,0.33,0,0,,
747,Tyrhys Dolan,eng ENG,MF,Espanyol,es La Liga,23,2001,26.8,2,34,12,35.3,1.27,0.45,0.06,0.17,0,0,,
748,Marc Domenech,es ESP,MF,Mallorca,es La Liga,19,2006,2.4,0,3,0,0,1.26,0,0,,0,0,,
749,Benjamín Domínguez,ar ARG,MF,Bologna,it Serie A,21,2003,6.1,0,12,2,16.7,1.97,0.33,0,0,0,0,,
750,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,24,2001,6.8,0,2,1,50,0.3,0.15,0,0,0,0,,
751,Nicolás Domínguez,ar ARG,MF,Nottingham,eng Premier League,27,1998,13.1,1,18,5,27.8,1.38,0.38,0.06,0.2,0,0,,
