Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,Top Team Scorer,Goalkeeper
82,Lecce,it ITA,17,38,10,8,20,28,50,-22,38,1.00,25842,Lameck Banda - 5,Wladimiro Falcone
83,Köln,de GER,14,34,7,11,16,49,63,-14,32,0.94,49918,Said El Mala - 13,Marvin Schwäbe
84,Nice,fr FRA,16,34,7,11,16,37,60,-23,32,0.94,22078,Sofiane Diop - 8,Yehvann Diouf
85,Werder Bremen,de GER,15,34,8,8,18,37,60,-23,32,0.94,41282,Jens Stage - 10,Mio Backhaus
86,Cremonese,it ITA,18,38,8,10,20,32,57,-25,34,0.89,12259,Federico Bonazzoli - 10,Emil Audero
87,Wolfsburg,de GER,16,34,7,8,19,45,69,-24,29,0.85,24716,Dženan Pejčinović Mohamed Amoura - 8,Kamil Grabara
88,Heidenheim,de GER,17,34,6,8,20,41,72,-31,26,0.76,14824,Budu Zivzivadze - 6,Diant Ramaj
89,St Pauli,de GER,18,34,6,8,20,29,60,-31,26,0.76,29505,Danel Sinani - 5,Nikola Vasilj
90,Oviedo,es ESP,20,38,6,11,21,26,60,-34,29,0.76,24888,Federico Viñas - 9,Aarón Escandell
91,Nantes,fr FRA,17,33,5,8,20,29,52,-23,23,0.70,27478,Matthis Abline - 6,Anthony Lopes
92,Burnley,eng ENG,19,38,4,10,24,38,75,-37,22,0.58,21005,Zian Flemming - 11,Martin Dúbravka
93,Hellas Verona,it ITA,19,38,3,12,23,25,61,-36,21,0.55,22352,Gift Orban - 7,Lorenzo Montipò
94,Wolves,eng ENG,20,38,3,11,24,27,68,-41,20,0.53,29853,Santiago Bueno Tolu Arokodare... - 3,José Sá
95,Metz,fr FRA,18,34,3,8,23,32,76,-44,17,0.50,22217,Gauthier Hein - 8,Jonathan Fischer
96,Pisa,it ITA,20,38,2,12,24,26,71,-45,18,0.47,11033,Stefano Moreo - 7,Adrian Šemper
